					
Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer
					
MCP3204-CIP	ADC0	DIP14	1	MCP3204-BI/P	Microchip Tech
MCP3208-CI_P	ADC1	DIP16	1	MCP3208-BI/P	Microchip Tech
ATMEGA644A-PU	AT1	PDIP-40	1	ATMEGA644A-PU	Microchip Tech
.1u	C1,C4,C5,C6,C7,C8,C9,C11,C12,C17,C18,C31,C15,C22	C0805	14	KGM21NR71E104KT	
100uF	C2,C3,C25	CAP-TH_BD10.0-P5.00-D1.0-FD	3	ESK107M050AH1AA	
22pF	C10,C13	C0805	2	C0805C220K3GAC7800	
10u	C26,C27,C28,C29,C30	C0805	5	C0805C106K3PAC7800	
1-87215-2	ICSP	HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1	1	1-87215-2	TE Connectivity
1uH	L1	L1206	1	ILSB1206ER1R0K	
1K	R1,R3,R11, R13, R4	805	5	RT0805BRD071KL	
10K	R2,R6,R7,R8,R9,R10,R12,R15,R17	805	9	RT0805BRD0710KL	
5K	R5	805	1	RT0805BRD075K1L	
3.33K	R14	805	1	RT0805BRD073K3L	
EVQ-PE505K	RESET	EVQPE505K	1	EVQPE505K	
LM4040DELT-2.0	U1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	1	LM4040CELT-2.0	
ULN2003AN	U2,U4,U5	DIP-16_16P-L20.2-W6.6-P2.54-LS7.6-BL	3	ULN2003AN	TI
LP2950ACZ-5.0G	U3	TO-92-3_L4.9-W3.7-P1.27-L	1	LP2950ACZ-5.0/NOPB	ON
LM4040DELT-4.096	U11	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	1	LM4040CELT-4.1	
16Mhz	Y1	HC49US	1	ECS-160-18-4X-CKM	
